pitcher_id,name,pitches,pa,k_percent,bb_percent,woba,xwoba,gap,hard_hit_percent,window_days
680736,"Wrobleski, Justin",160,40,25.0,2.5,0.35,0.279,0.071,39.3,21
669022,"Gore, MacKenzie",294,77,6.5,11.7,0.371,0.381,-0.01,38.7,21
607067,"Rea, Colin",110,27,11.1,7.4,0.326,0.26,0.066,40.9,21
681517,"Leahy, Kyle",215,59,20.3,10.2,0.431,0.381,0.05,39.0,21
687309,"Hjerpe, Cooper",254,55,27.3,18.2,0.251,0.279,-0.028,20.0,21
676272,"Miller, Bobby",104,24,12.5,16.7,0.357,0.449,-0.092,50.0,21
681982,"Anderson, Grant",61,15,26.7,13.3,0.237,0.294,-0.057,55.6,21
702021,"Dion, Will",224,55,27.3,12.7,0.371,0.303,0.068,36.4,21
695418,"Lord, Brad",252,65,20.0,12.3,0.357,0.294,0.063,38.6,21
696146,"Smith, Hagen",295,73,39.7,8.2,0.195,0.207,-0.012,34.2,21
668941,"Romero, JoJo",151,40,17.5,5.0,0.286,0.296,-0.01,19.4,21
571927,"Matz, Steven",157,41,17.1,9.8,0.322,0.319,0.003,30.0,21
691799,"Taylor, Grant",173,45,20.0,13.3,0.402,0.423,-0.021,43.3,21
694357,"Tiedemann, Ricky",95,22,31.8,27.3,0.355,0.327,0.028,0.0,21
670183,"Acton, Garrett",49,13,23.1,23.1,0.481,0.312,0.169,42.9,21
592866,"Williams, Trevor",197,49,26.5,8.2,0.256,0.313,-0.057,46.9,21
693308,"Frasso, Nick",163,40,30.0,7.5,0.459,0.302,0.157,40.0,21
668964,"Myers, Tobias",112,28,21.4,10.7,0.257,0.211,0.046,31.6,21
663855,"Hicks, Jordan",166,31,38.7,19.4,0.252,0.24,0.012,7.7,21
675848,"Mejia, Juan",176,43,25.6,11.6,0.378,0.27,0.108,40.7,21
689266,"Dodd, Dylan",39,9,44.4,0.0,0.444,0.44,0.004,60.0,21
686751,"Johnson, Seth",147,45,26.7,4.4,0.343,0.287,0.056,32.3,21
814305,"Tur, Yunior",99,24,12.5,20.8,0.498,0.387,0.111,50.0,21
667297,"Nance, Tommy",168,45,35.6,11.1,0.418,0.358,0.06,37.5,21
572955,"Johnson, Pierce",162,36,22.2,11.1,0.324,0.241,0.083,33.3,21
670167,"Schreiber, John",148,40,7.5,7.5,0.381,0.246,0.135,33.3,21
547973,"Chapman, Aroldis",135,32,53.1,15.6,0.228,0.211,0.017,40.0,21
699044,"Ullola, Miguel",95,25,12.0,20.0,0.226,0.242,-0.016,41.2,21
668984,"Legumina, Casey",233,64,23.4,10.9,0.37,0.32,0.05,42.9,21
663542,"Hudson, Bryan",133,39,10.3,0.0,0.536,0.412,0.124,48.6,21
656641,"Latz, Jacob",213,58,25.9,1.7,0.353,0.372,-0.019,55.6,21
573009,"Mantiply, Joe",134,38,15.8,2.6,0.336,0.379,-0.043,29.0,21
641302,"Alexander, Tyler",211,58,15.5,6.9,0.256,0.227,0.029,20.9,21
694037,"Palencia, Daniel",119,31,22.6,12.9,0.153,0.276,-0.123,35.0,21
595014,"Treinen, Blake",141,35,17.1,11.4,0.409,0.33,0.079,36.0,21
