"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Matz, Steven","571927","159","15.5",45.3,"114.9","88.6","77.4","93.6","82.7","433","191","396","58",36.5,"21",13.2,9.6
"Cease, Dylan","656302","159","11.3",34,"112.6","86.3","73.2","92.4","83.5","418","150","389","59",37.1,"8",5,2.6
"Manaea, Sean","640455","158","15.1",35.4,"114.6","88","75.9","92","86.1","411","166","394","62",39.2,"13",8.2,5.5
"Tolle, Payton","801139","158","19.3",29.1,"111.7","87.4","75.9","90.7","85.6","421","174","398","52",32.9,"9",5.7,3.8
"Wheeler, Zack","554430","157","13.7",34.4,"110.2","87.7","76.5","93.1","83","435","157","388","57",36.3,"12",7.6,5.1
"Agnos, Zach","688642","156","16.2",42.9,"111","89","77.8","93.5","83.8","444","197","402","66",42.3,"17",10.9,8.1
"Phillips, Tyler","663969","154","10",32.5,"111.6","88.2","77.5","92.1","84.6","447","155","393","60",39,"12",7.8,5.3
"Kolek, Stephen","663568","153","10.8",31.4,"112.8","89.1","78.4","92.3","87.4","435","146","372","59",38.6,"10",6.5,5.1
"Holmes, Clay","605280","150","5.1",27.3,"111.1","89.8","79.4","92.6","88.7","419","136","400","66",44,"8",5.3,3.7
"Yesavage, Trey","702056","145","23",33.1,"110.7","88.6","78.3","92.7","88.2","404","177","379","51",35.2,"7",4.8,3.1
"Skubal, Tarik","669373","145","8.8",35.9,"111.8","88.8","77.5","90.7","88","420","148","404","60",41.4,"9",6.2,4.2
"Teng, Kai-Wei","678906","145","13.5",35.2,"113.4","90.3","80.3","93.7","88.2","431","157","381","59",40.7,"10",6.9,4.3
"Quintana, Jose","500779","143","18.7",35,"115.8","88.2","78.1","90.7","87.5","429","177","403","47",32.9,"12",8.4,6.6
"Irvin, Jake","663623","142","14.5",34.5,"114.9","89.7","78.2","94.3","86.1","451","176","414","65",45.8,"17",12,7.5
"Mize, Casey","663554","140","17.5",35,"110.4","87.5","76.2","93.6","79.4","408","181","378","50",35.7,"11",7.9,5.3
"Lodolo, Nick","666157","139","13.4",35.3,"115.9","89.8","78.6","91.9","87.5","438","179","404","55",39.6,"12",8.6,6.1
"Lord, Brad","695418","138","3.3",23.2,"115.9","87.4","74.5","92.6","85.6","434","122","409","57",41.3,"6",4.3,3.1
"Jax, Griffin","643377","138","10",32.6,"110.2","88.3","76.4","92.8","85.1","432","162","401","55",39.9,"15",10.9,7.4
"Assad, Javier","665871","137","13.1",32.8,"111.5","89.6","79.3","93.2","87.5","446","162","409","64",46.7,"8",5.8,4.7
"Watson, Ryan","670245","136","19",38.2,"114.3","90","79.2","95.6","86.3","449","178","412","55",40.4,"18",13.2,9.5
"Drohan, Shane","675660","136","13.4",33.1,"113.6","87.3","75.8","92.2","83.7","415","170","382","49",36,"11",8.1,5.6
"Matthews, Zebby","805673","133","15.2",35.3,"112.3","89.5","79.3","93.3","84.5","419","185","379","52",39.1,"15",11.3,8.4
"Miles, Spencer","693686","131","6",25.2,"109","86.4","75.1","91","83.9","427","128","422","45",34.4,"6",4.6,3.1
"Bubic, Kris","663460","129","12.5",38.8,"114.2","89.4","79","92.3","87.1","439","170","420","51",39.5,"10",7.8,4.8
"Blubaugh, AJ","805123","129","18",36.4,"111.8","89.1","79.5","93.5","85.7","403","187","384","45",34.9,"10",7.8,5.1
"Suter, Brent","608718","125","9.7",28.8,"110.4","86","73.9","90.2","83.3","410","132","402","37",29.6,"7",5.6,4
"McDonald, Trevor","686790","123","2.3",29.3,"114.4","89.7","79.2","94.5","87.9","436","123","407","50",40.7,"7",5.7,3.8
"Feltner, Ryan","663372","123","14.4",35.8,"111","89","77.3","93.8","85.8","462","169","406","55",44.7,"13",10.6,7.5
"Anderson, Drew","623454","122","11",26.2,"115.3","90.5","80.8","94.7","90.1","459","150","394","49",40.2,"9",7.4,4.4
"Dollander, Chase","801403","121","12.9",24,"111.3","90.6","79.8","96.3","87.3","438","157","406","63",52.1,"12",9.9,6.3
"López, Reynaldo","625643","121","16.2",38.8,"114.5","86.9","75.3","91.6","82","424","182","402","42",34.7,"7",5.8,3.9
"Pfaadt, Brandon","694297","120","9",35,"112.3","89.5","78.2","95.3","86.6","419","150","402","49",40.8,"14",11.7,8.2
"Scholtens, Jesse","669947","120","19.1",37.5,"109.4","88.2","77.2","93.3","84.6","427","178","395","45",37.5,"13",10.8,7.9
"Suarez, José","660761","117","15.9",35.9,"114.9","87.7","77.9","89.9","87.1","366","154","356","35",29.9,"1",0.9,0.5
"Perkins, Jack","678022","117","11.6",32.5,"111.2","89.7","80","93.1","86.9","437","174","410","40",34.8,"7",6,3.8
"Canning, Griffin","656288","117","7.8",34.2,"113.8","91.6","81.6","96.3","88.4","417","155","382","59",50.4,"12",10.3,6.6
"Rogers, Tyler","643511","115","-5.2",21.7,"112.9","83.9","71.7","88.5","82.8","355","88",,"28",24.3,"0",0,0
"Gordon, Tanner","685299","114","20.4",36,"111.5","91.4","82.2","94.7","87","425","202","403","51",44.7,"15",13.2,9.5
"Newcomb, Sean","656794","114","8.4",32.5,"111","86.5","74.4","90.3","84.3","422","137","392","40",35.1,"5",4.4,2.9
"Senzatela, Antonio","622608","112","12.9",32.1,"112.2","87.9","75.9","89.4","89.6","424","158","389","46",41.1,"7",6.3,4.4
"Parker, Mitchell","680730","112","15",33.9,"112.1","90.9","80.5","94.2","88.1","422","174","392","47",42,"10",8.9,6.6
"Milner, Hoby","571948","111","13",35.1,"109.8","88.1","77.3","91.3","85.7","391","160","381","40",36,"6",5.4,4.3
"Marinaccio, Ron","676760","110","12.9",30.9,"113.2","88.7","77.7","93.9","86.6","434","158","398","44",40,"8",7.3,5.1
"Peralta, Wandy","593974","109","6",35.8,"106.9","87.9","77.6","91.7","85.1","427","141","407","36",33,"4",3.7,2.6
"Avila, Luinder","679883","109","11.6",32.1,"109.9","87","75.7","90.8","84.6","420","160","385","34",31.2,"8",7.3,4.8
"Schultz, Noah","702273","109","17.6",35.8,"110","88.8","78.2","91.4","89.9","401","173","397","42",38.5,"12",11,7.1
"Bruihl, Justin","677865","108","9.5",34.3,"111.1","88.2","76.8","92.6","85.2","402","151","389","45",41.7,"5",4.6,3.3
"Brubaker, JT","664141","108","16.5",38.9,"109","88.2","77.6","90.8","85","423","190","412","37",34.3,"5",4.6,3.3
"Ramírez, Yohan","670990","108","9.7",31.5,"107.9","84.2","71.7","87.3","81.9","403","137","382","33",30.6,"6",5.6,3.3
"Orze, Eric","679358","108","13",36.1,"113.3","85.4","73.4","92.4","79.8","385","149",,"29",26.9,"6",5.6,3.8
"Ashby, Aaron","676879","108","6.3",26.9,"116.9","87.6","74.9","93","85.3","447","138","428","44",40.7,"5",4.6,2.6
"Myers, Tobias","668964","108","20.5",25.9,"110.3","91","81.3","94.9","88.3","402","175","381","47",43.5,"7",6.5,4.8
"Scott, Christian","681035","107","17.6",45.8,"112.8","87.8","77","90.1","86","445","187","412","34",31.8,"6",5.6,3.4
"McCullers Jr., Lance","621121","105","12.9",38.1,"111.9","91.5","81.8","94.7","90.9","393","164","371","53",50.5,"9",8.6,5.2
"Imai, Tatsuya","837227","105","10.9",32.4,"112.3","90.5","81.2","94.8","88.2","429","156","381","47",44.8,"9",8.6,5
"Graceffo, Gordon","700669","104","12.4",35.6,"114.6","93.1","84.2","95.4","92","444","177","416","53",51,"14",13.5,10.1
"Finnegan, Kyle","640448","103","11.3",28.2,"112.7","89.6","78.9","91.3","89.5","438","152","393","42",40.8,"6",5.8,4.1
"Svanson, Matt","694335","103","16.6",35.9,"110","91.3","80.6","93.5","90.9","423","173","389","48",46.6,"7",6.8,4.6
"Suárez, Albert","544150","102","19.1",41.2,"111.8","89.7","80.1","93.9","82.7","429","196","399","40",39.2,"10",9.8,7.5
"Ferrer, José A.","678606","102","9.1",28.4,"110.7","86.1","73.7","88.5","85","422","137","391","37",36.3,"4",3.9,2.9
"Blackburn, Paul","621112","102","5.5",28.4,"111.9","87.7","75.7","91.3","85.3","414","136","406","39",38.2,"7",6.9,5.1
"Seymour, Ian","693855","102","23.1",32.4,"106.6","87.4","76.7","91.7","83","412","190","387","37",36.3,"9",8.8,5.5
"Holton, Tyler","663947","101","7.9",36.6,"110.7","88.9","77.8","92","87.3","401","145","388","41",40.6,"6",5.9,4.3
"Sterner, Justin","686993","101","13.2",26.7,"112.1","89.7","79.4","93.2","86.8","445","177","388","45",44.6,"7",6.9,4.8
"Rodriguez, Bradgley","699134","100","7.9",20,"105.7","87","76.5","90.7","86.7","394","121","394","32",32,"3",3,2.1
"Bachar, Lake","669199","100","16.7",31,"110.9","90.6","81.2","92.9","87.5","406","176","375","42",42,"7",7,4.2
"Morris, Andrew","702193","100","10.9",29,"109.9","87.1","75.4","88.6","86.9","441","149","419","35",35,"3",3,2
"Morejon, Adrian","670970","100","-2",29,"113.2","86","74.1","93.7","82.9","429","105","419","31",31,"2",2,1.3
"Ritchie, JR","702275","100","11",31,"107.7","89.3","79.5","92.7","85.8","426","165","401","40",40,"7",7,4.5
