Season,﻿"last_name, first_name","player_id","year","pa","ab","hit","double","triple","home_run","walk","strikeout","batting_avg","on_base_percent","slg_percent","woba","woba_contact","xba","xslg","xwoba","xwoba_contact","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","pitches","batted_ball_events"
2026,"Laureano, Ramón",657656,2026,206,182,37,6,2,7,20,65,".203",".286",".374",".294",,".222",".409",".312",,"88","12.1",37,14.3,41.2,,
2026,"Martin, Austin",668885,2026,196,167,43,9,0,2,25,30,".257",".362",".347",".327",,".257",".351",".326",,"86.4","11.9",33.3,2.9,29,,
2026,"Machado, Manny",592518,2026,237,205,35,6,0,10,27,54,".171",".263",".346",".271",,".231",".397",".314",,"89.8","11",30.1,8.3,43.6,,
2026,"Hoerner, Nico",663538,2026,276,240,61,13,0,4,29,20,".254",".341",".358",".318",,".296",".378",".339",,"85.7","12.6",38.1,1.4,27.8,,
2026,"García Jr., Luis",671277,2026,194,186,49,10,3,5,7,30,".263",".289",".430",".313",,".287",".434",".324",,"92.3","10.9",31.8,7.1,47.8,,
2026,"Burleson, Alec",676475,2026,252,226,64,14,0,7,22,41,".283",".349",".438",".346",,".284",".514",".371",,"91.2","12.5",33.2,9.7,47.6,,
2026,"Tatis Jr., Fernando",665487,2026,249,218,60,7,1,1,24,53,".275",".347",".330",".308",,".281",".408",".349",,"90.2","1.7",32.4,10,51.8,,
2026,"Karros, Kyle",691720,2026,199,170,38,9,0,3,26,47,".224",".327",".329",".302",,".250",".372",".330",,"89.3","10.4",43.2,6.5,40.8,,
2026,"Schwarber, Kyle",656941,2026,255,216,50,9,1,22,35,87,".231",".349",".588",".401",,".233",".541",".381",,"92.8","22.1",36.4,23.3,50.4,,
2026,"Gonzales, Nick",693304,2026,221,202,63,9,0,1,15,38,".312",".367",".371",".334",,".306",".401",".338",,"86","6.1",32.1,2.4,39.4,,
2026,"O'Hearn, Ryan",656811,2026,191,167,49,6,0,8,20,37,".293",".372",".473",".371",,".279",".454",".358",,"90.3","11.9",31.8,7.6,44.7,,
2026,"Clement, Ernie",676391,2026,240,231,70,19,0,5,8,20,".303",".325",".450",".340",,".261",".357",".280",,"85.7","15.3",30.7,2.8,25.5,,
2026,"Ward, Taylor",621493,2026,275,218,53,15,0,2,54,57,".243",".393",".339",".341",,".246",".359",".347",,"88.9","13.4",36.8,4.3,38.7,,
2026,"Jung, Josh",673962,2026,235,214,66,16,0,7,17,37,".308",".362",".481",".370",,".308",".464",".361",,"89.7","12",39.7,5.6,44.1,,
2026,"Duran, Jarren",680776,2026,242,219,48,9,2,10,18,69,".219",".285",".416",".308",,".236",".403",".308",,"90.6","15",31.6,12,40.8,,
2026,"Naylor, Josh",647304,2026,247,224,57,5,0,6,20,33,".254",".317",".357",".301",,".282",".422",".333",,"87.6","13.8",32.3,5.7,38,,
2026,"Merrill, Jackson",701538,2026,233,210,43,11,0,5,20,59,".205",".277",".329",".271",,".243",".417",".315",,"89.4","13.5",37.9,9.9,45.8,,
2026,"Langeliers, Shea",669127,2026,245,219,63,12,0,14,21,47,".288",".359",".534",".388",,".288",".554",".389",,"92","21",36.4,15,45.7,,
2026,"McGonigle, Kevin",805808,2026,259,221,63,12,3,3,36,35,".285",".390",".407",".361",,".270",".453",".366",,"88.1","20.5",38.2,9.1,37.6,,
2026,"Turner, Trea",607208,2026,260,242,55,9,0,7,17,57,".227",".277",".351",".281",,".239",".365",".288",,"89.6","11.6",32.8,5.9,40.3,,
2026,"Tovar, Ezequiel",678662,2026,226,208,44,11,0,4,13,61,".212",".261",".322",".261",,".234",".393",".296",,"87.8","15.2",38,8,36.7,,
2026,"Díaz, Yandy",650490,2026,240,210,66,10,1,11,22,31,".314",".396",".529",".402",,".290",".486",".374",,"90.5","5.9",28.3,9.6,46.1,,
2026,"Carter, Evan",694497,2026,207,173,30,6,2,6,27,47,".173",".294",".335",".288",,".199",".342",".299",,"87.9","18.7",30.8,7.7,39.2,,
2026,"Grisham, Trent",663757,2026,228,191,40,9,1,7,35,40,".209",".329",".377",".319",,".233",".425",".343",,"90.6","16.7",32.7,12.4,45.1,,
2026,"Devers, Rafael",646240,2026,256,236,58,18,1,7,17,79,".246",".297",".419",".311",,".222",".403",".291",,"91.7","11.8",32.1,10.1,49.7,,
2026,"Contreras, William",661388,2026,241,215,63,10,0,4,22,31,".293",".357",".395",".334",,".280",".427",".338",,"90.2","11.6",29.9,7,43.3,,
2026,"Varsho, Daulton",662139,2026,230,207,53,13,2,5,20,45,".256",".326",".411",".324",,".252",".363",".302",,"86","14.6",36.8,6.1,38,,
2026,"Buxton, Byron",621439,2026,238,217,56,10,1,17,17,64,".258",".319",".548",".372",,".228",".470",".326",,"89.9","22.9",32.5,18.2,46.1,,
2026,"Young, Jacob",696285,2026,207,191,45,6,0,8,11,36,".236",".291",".393",".305",,".261",".399",".314",,"88.9","11.4",35.9,6.5,35.9,,
2026,"Pasquantino, Vinnie",686469,2026,249,216,45,7,2,5,28,46,".208",".297",".329",".282",,".236",".378",".309",,"88.3","20.2",35.1,7.5,34.5,,
2026,"Rice, Ben",700250,2026,234,200,61,14,2,17,30,53,".305",".397",".650",".442",,".294",".563",".408",,"92.4","13.4",42.3,17.4,51.7,,
2026,"Rafaela, Ceddanne",678882,2026,216,197,55,11,2,5,13,45,".279",".343",".431",".344",,".244",".368",".303",,"87.4","10.1",37.5,7.4,38.2,,
2026,"Simpson, Chandler",802415,2026,243,226,63,4,4,0,12,26,".279",".313",".332",".289",,".249",".286",".256",,"84.1","2.5",26.3,0,15.7,,
2026,"Hernández, Teoscar",606192,2026,204,181,50,8,0,7,19,55,".276",".348",".436",".346",,".259",".437",".339",,"89.8","12.4",34.4,11,45.3,,
2026,"Muncy, Max",571970,2026,209,182,45,6,0,14,26,55,".247",".344",".511",".372",,".264",".549",".388",,"91.1","13.5",33.1,17.3,48.8,,
2026,"Guerrero Jr., Vladimir",665489,2026,249,212,63,10,0,3,30,25,".297",".390",".387",".346",,".307",".425",".361",,"90.5","9",31.1,6.8,44.2,,
2026,"Steer, Spencer",668715,2026,231,206,57,11,0,9,21,48,".277",".351",".461",".359",,".279",".519",".377",,"90","18.3",42.1,14.4,39.6,,
2026,"Rocchio, Brayan",677587,2026,220,190,56,9,1,4,20,27,".295",".376",".416",".356",,".258",".364",".320",,"86.7","10.8",32.3,3,33.3,,
2026,"Kwan, Steven",680757,2026,238,197,42,7,0,1,34,25,".213",".332",".264",".283",,".231",".289",".297",,"82.4","14.8",34.5,0.6,9.1,,
2026,"Vientos, Mark",668901,2026,197,187,41,9,0,7,7,42,".219",".254",".380",".278",,".249",".467",".320",,"90.3","14.6",32.2,10.3,45.9,,
