"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Ward, Taylor","621493","362","14.8",35.4,"109.5","88.8","98.7","92.7","85.5","419","173","388","138",38.1,"19",5.2,3.2
"Marsh, Brandon","669016","361","13.4",41.8,"110.1","89.3","99.9","92.9","86.3","454","176","391","157",43.5,"30",8.3,5.7
"Clemens, Kody","665019","359","16",34.5,"108.2","92.4","101.3","95.4","89.5","419","186","390","169",47.1,"43",12,8.3
"Ramírez, José","608070","359","19.3",36.8,"110.8","88.9","99.3","92.3","87.7","410","179","391","140",39.1,"15",4.2,3.1
"Duran, Ezequiel","677649","358","12.1",35.5,"111.5","89","99.5","92","87.2","436","159","397","136",38,"23",6.4,4.3
"Altuve, Jose","514888","357","10.6",32.8,"107.3","85.5","96.9","91.3","81.6","410","147","377","115",32.2,"16",4.5,3.2
"Marsee, Jakob","805300","355","17.4",32.4,"110.9","87.4","97.9","91.2","86","398","166","382","123",34.6,"13",3.7,2.4
"Suzuki, Seiya","673548","354","18.2",37.9,"112.9","88.3","100.1","92.4","85","455","183","406","135",38.1,"37",10.5,6.5
"Moreno, Gabriel","672515","354","12.8",37.6,"110.9","89.2","99.8","92.3","88","428","167","400","150",42.4,"28",7.9,5.8
"Burger, Jake","669394","352","13.7",30.1,"113.6","90.2","102.7","94.9","87.3","447","166","402","165",46.9,"42",11.9,7.6
"Antonacci, Sam","803011","352","9.7",36.6,"108.4","87.3","97.4","90.9","85","422","151","390","113",32.2,"18",5.1,3.6
"Varsho, Daulton","662139","351","15.6",32.5,"110.4","86.8","98.5","91.3","83.9","412","168","388","130",37,"24",6.8,4.9
"Okamoto, Kazuma","672960","348","19.7",33.9,"112.6","90.5","101.4","95.6","86.2","453","186","400","154",44.3,"47",13.5,8.2
"De La Cruz, Elly","682829","348","9.6",36.2,"116.6","94.4","105.3","97","92.2","444","169","402","183",52.6,"53",15.2,9.4
"Semien, Marcus","543760","347","18.8",34,"107.5","86.5","97","90.2","82.8","424","178","391","116",33.4,"21",6.1,4.3
"Chourio, Jackson","694192","346","12",32.4,"113.3","91.7","102.2","95.6","88.5","442","171","399","162",47,"43",12.4,8.5
"Giménez, Andrés","665926","345","12.7",30.4,"108.9","85.5","95.7","89.8","83.2","415","148","389","85",24.6,"12",3.5,2.6
"Caglianone, Jac","695506","344","7.7",33.4,"116.1","93.1","105.5","97.8","88.8","448","163","416","187",54.4,"47",13.7,9.2
"Schanuel, Nolan","694384","340","12.2",36.5,"106.6","87.4","97.3","89.8","85.9","399","158","375","112",32.9,"8",2.4,1.8
"Winn, Masyn","691026","338","11.7",33.7,"108.5","88.2","98.6","90.8","87.6","410","154","385","119",35.2,"12",3.6,2.4
"Riley, Austin","663586","334","19.4",33.8,"112.2","91.5","102.3","95.3","87.4","438","185","409","151",45.2,"41",12.3,7.2
"Grisham, Trent","663757","333","17.5",35.7,"111.6","90.6","100.5","94.6","87.7","424","185","388","151",45.3,"32",9.6,6.6
"Smith, Cam","701358","332","11.8",30.7,"114.7","89","101.8","94","85.8","462","162","409","147",44.3,"37",11.1,7.3
"Springer, George","543807","330","12.8",30,"110.7","88.4","99.2","92.7","85.3","438","157","395","125",37.9,"22",6.7,4.7
